dataset,model,seed,kind,source,bytes,sha256
SIN_COS,JEPA-only,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-only/test_predictions.npz,2954,19256d04f8edfc632552d06288ec00d8df1902f477ef74cb040e816b22c775fb
SIN_COS,JEPA-only,7,selected_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-only/downstream_best.pt,50926,a2b97b5bf849460a3e2bd6cbf286168b64dd399a3236f95ecda4746d7d4ff64b
SIN_COS,JEPA-only,7,pretrain_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-only/logs/output_model/SMOKE_SIN_COS/lr_0.001_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_16_2_1_predictor_8_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.0_cfg_1cb4309d2a88_epoch_0.pt,199763,0326705cbaf77ec4d86246da25cba9da140d6d6af9eec61ef9c3236ebbf37e7e
SIN_COS,MAE-only,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/MAE-only/test_predictions.npz,2954,2f14d280acc4b63f502f3103361ea591b5854a8f4acab04f61bb364ddfb6a15f
SIN_COS,MAE-only,7,selected_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/MAE-only/downstream_best.pt,50926,94d69bfef565324793288d29f4b766759b69f6edff1edb8083c38128e3551497
SIN_COS,MAE-only,7,pretrain_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/MAE-only/logs/output_model/SMOKE_SIN_COS/lr_0.001_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_16_2_1_predictor_8_2_1_dual_jepa_mae_ljepa_0.0_lmae_1.0_cfg_62fbd7b0d9c0_epoch_0.pt,199763,f0f51b1b8e00d1d542f496f0364f9ef9f09f411607af98c62f9a7fc90ccaed3a
SIN_COS,GRU,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/GRU/test_predictions.npz,2954,9e9e10d7d13ee379a5c6479eebf78b3b232765487f4b5154612de7a75bc5ce3b
SIN_COS,GRU,7,selected_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/GRU/downstream_best.pt,56501,5013f51ddd176919537a69f48180fcc2342e5ec35b4d0594bc69297d4aedce3f
SIN_COS,Naive-last,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/Naive-last/test_predictions.npz,2954,95c7d524621cb1ee7b81f52a932b3379b01f65a0d21016f3fc16aaef3689257e
SIN_COS,Drift,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/Drift/test_predictions.npz,2954,c2604dd088fe3995387e23df4817d796dbbc847ac4b73604e870f7d26dfce79a
SIN_COS,Mean-context,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/Mean-context/test_predictions.npz,2954,4f784be16ee967c79c8b05d8f29a652f88e8c81be6539675f0c6653a40498f0a
